level_name	chain	level	condition	create_time	create_cost	upkeep_cost	demolition_cost	zoc	lower_happiness	upper_happiness	repression	gdp	town_wealth_growth	pop_change	maxpop_change	commodity	gov_type_key	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	working_model	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology
#building_levels_tables;6;db/building_levels_tables/Hellenic_building_levels																																		
greek_agriculture_granary_2_1	rom_HELLENIC_outskirts_minor_MACEDON	1		30	24000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230000	true	rom_Economic_Woodworking	general_civic	true
greek_agriculture_granary_3_1	rom_HELLENIC_outskirts_minor_MACEDON	2		50	37500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230001	true	rom_Economic_Woodworking	general_civic	true
greek_agriculture_granary_4_1	rom_HELLENIC_outskirts_minor_MACEDON	3		80	57000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230002	true	rom_Economic_Woodworking	general_civic	true
greek_city_centre_5_prytaneion	rom_HELLENIC_city_slot	4		20	162000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	true			res_rom_marble	campaign_sho_city_castle_construction_lvl1	230003	true	rom_City_Lot_Public_Order	general_civic	true
greek_city_centre_library_5_pergamon	rom_HELLENIC_city_slot	4		120	159300	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	true			res_rom_glass	campaign_sho_city_castle_construction_lvl1	230004	true	rom_City_Lot_Research	general_civic	true
greek_religious_5_demeter	rom_HELLENIC_temple	4		120	162000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	true			res_rom_marble	campaign_sho_city_castle_construction_lvl1	230005	true	rom_Temple_Imperial_Cult	hellenic_temple	true
greek_religious_5_ephesus	rom_HELLENIC_temple	4		120	162000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	true			res_rom_marble	campaign_sho_city_castle_construction_lvl1	230006	true	rom_Temple_Imperial_Cult	hellenic_temple	true
greek_religious_5_golden_fleece	rom_HELLENIC_temple	4		120	162000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	true			res_rom_marble	campaign_sho_city_castle_construction_lvl1	230007	true	rom_Temple_Imperial_Cult	hellenic_temple	true
greek_religious_zeus_5_pergamon	rom_HELLENIC_temple	4		120	162000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	true			res_rom_marble	campaign_sho_city_castle_construction_lvl1	230008	true	rom_Temple_Imperial_Cult	hellenic_temple	true
greek_town_centre_5_rose_marl	rom_HELLENIC_public_land	4		80	137700	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	true			res_rom_textiles	campaign_sho_city_castle_construction_lvl1	230009	true	rom_Economic_Salt	market	true
greek_town_centre_stadia_2	rom_HELLENIC_public_land	1		30	36000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230010	true	rom_Economic_Primary_Public_Order	general_civic	true
greek_town_centre_stadia_3	rom_HELLENIC_public_land	2		50	78000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230011	true	rom_Economic_Primary_Public_Order	general_civic	true
greek_town_centre_stadia_4	rom_HELLENIC_public_land	3		80	131580	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_marble	campaign_sho_city_castle_construction_lvl1	230012	true	rom_Economic_Primary_Public_Order	general_civic	true
greek_town_civil_2	rom_HELLENIC_city_minor_township	1		30	27000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230013	true	rom_SettlementMinor	town	true
greek_town_civil_3	rom_HELLENIC_city_minor_township	2		50	39000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230014	true	rom_SettlementMinor	town	true
greek_town_civil_4	rom_HELLENIC_city_minor_township	3		80	63000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230015	true	rom_SettlementMinor	town	true
greek_town_farm_2	rom_HELLENIC_city_minor_township	1		30	27000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230016	true	rom_SettlementMinor	town	true
greek_town_farm_3	rom_HELLENIC_city_minor_township	2		50	39000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230017	true	rom_SettlementMinor	town	true
greek_town_farm_4	rom_HELLENIC_city_minor_township	3		80	63000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230018	true	rom_SettlementMinor	town	true
greek_town_trade_2	rom_HELLENIC_city_minor_township	1		30	27000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230019	true	rom_SettlementMinor	town	true
greek_town_trade_3	rom_HELLENIC_city_minor_township	2		50	39000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230020	true	rom_SettlementMinor	town	true
greek_town_trade_4	rom_HELLENIC_city_minor_township	3		80	63000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230021	true	rom_SettlementMinor	town	true
greek_water_asclepius_2	rom_HELLENIC_sanitation	1		30	22500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230022	true	rom_City_Lot_Anti_Squalor	sanitation	true
greek_water_asclepius_3	rom_HELLENIC_sanitation	2		50	37500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_lead	campaign_sho_city_castle_construction_lvl1	230023	true	rom_City_Lot_Anti_Squalor	sanitation	true
greek_water_asclepius_4	rom_HELLENIC_sanitation	3		80	70200	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_lead	campaign_sho_city_castle_construction_lvl1	230024	true	rom_City_Lot_Anti_Squalor	sanitation	true
pun_HELLENIC_agora_Syracuse_5	rom_HELLENIC_city_slot	4		100	90000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	true			res_rom_marble	campaign_sho_city_castle_construction_lvl1	230025	true	rom_City_Lot_Games	general_civic	true
pun_HELLENIC_temple_Altar_Zeus_5	rom_HELLENIC_temple	4		120	91800	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	true			res_rom_marble	campaign_sho_city_castle_construction_lvl1	230026	true		hellenic_temple	true
rom_HELLENIC_agora_1	rom_HELLENIC_city_slot	0		20	12000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230027	true		market	true
rom_HELLENIC_agora_entertainment_2	rom_HELLENIC_city_slot	1		30	21000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230028	true	rom_City_Lot_Games	market	true
rom_HELLENIC_agora_entertainment_3	rom_HELLENIC_city_slot	2		50	37500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_wine	campaign_sho_city_castle_construction_lvl1	230029	true	rom_City_Lot_Games	market	true
rom_HELLENIC_agora_entertainment_4	rom_HELLENIC_city_slot	3		80	90000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_wine	campaign_sho_city_castle_construction_lvl1	230030	true	rom_City_Lot_Games	market	true
rom_HELLENIC_agora_food_2	rom_HELLENIC_city_slot	1		30	27000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	230031	true	rom_Economic_Primary_Food	market	true
rom_HELLENIC_agora_food_3	rom_HELLENIC_city_slot	2		50	54000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_grain	campaign_sho_city_castle_construction_lvl1	230032	true	rom_Economic_Primary_Food	market	true
rom_HELLENIC_agora_food_4	rom_HELLENIC_city_slot	3		80	122400	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_salt	campaign_sho_city_castle_construction_lvl1	230033	true	rom_Economic_Primary_Food	market	true
rom_HELLENIC_agora_horse_2	rom_HELLENIC_city_slot	1		30	39000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_horse	campaign_sho_city_castle_construction_lvl1	230034	true	rom_Economic_Primary_Horse	general_civic	true
