level_name	chain	level	condition	create_time	create_cost	upkeep_cost	demolition_cost	zoc	lower_happiness	upper_happiness	repression	gdp	town_wealth_growth	pop_change	maxpop_change	commodity	gov_type_key	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	working_model	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology
#building_levels_tables;6;db/building_levels_tables/Population_building_levels																																		
rom_BARBARIAN_public_Colony_1	rom_BARBARIAN_public_land	1		18	16500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl2	620000	true	dei_colony_building	military	true
rom_BARBARIAN_public_Colony_2	rom_BARBARIAN_public_land	2		30	27000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	620001	true	dei_colony_building	military	true
rom_BARBARIAN_public_Colony_3	rom_BARBARIAN_public_land	3		48	72000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_timber	campaign_sho_city_castle_construction_lvl1	620002	true	dei_colony_building	military	true
rom_EASTERN_public_Colony_1	rom_EASTERN_public_land	1		18	16500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	620003	true	dei_colony_building	market	true
rom_EASTERN_public_Colony_2	rom_EASTERN_public_land	2		30	27000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	620004	true	dei_colony_building	market	true
rom_EASTERN_public_Colony_3	rom_EASTERN_public_land	3		48	72000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_textiles	campaign_sho_city_castle_construction_lvl1	620005	true	dei_colony_building	market	true
rom_HELLENIC_public_Colony_1	rom_HELLENIC_public_land	1		18	16500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	620006	true	dei_colony_building	general_civic	true
rom_HELLENIC_public_Colony_2	rom_HELLENIC_public_land	2		30	27000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	620007	true	dei_colony_building	general_civic	true
rom_HELLENIC_public_Colony_3	rom_HELLENIC_public_land	3		48	72000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_marble	campaign_sho_city_castle_construction_lvl1	620008	true	dei_colony_building	general_civic	true
