level_name	chain	level	condition	create_time	create_cost	upkeep_cost	demolition_cost	zoc	lower_happiness	upper_happiness	repression	gdp	town_wealth_growth	pop_change	maxpop_change	commodity	gov_type_key	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	working_model	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology
#building_levels_tables;6;db/building_levels_tables/Roman_building_levels																																		
emp_ROMAN_military_main_aux_2	rom_ROMAN_military_main	1		12	10500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240000	true	rom_Military_Main_Other	military	true
emp_ROMAN_military_main_aux_3	rom_ROMAN_military_main	2		18	14250	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_iron	campaign_sho_city_castle_construction_lvl1	240001	true	rom_Military_Main_Other	military	true
pro_ROMAN_city_major_1	pro_ROMAN_city_major	0		6	12000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	true	false				campaign_sho_city_castle_construction_lvl1	240002	true	rom_Settlement_Major	city	true
pro_ROMAN_city_major_2	pro_ROMAN_city_major	1		12	20250	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl2	240003	true	rom_Settlement_Major	city	true
pro_ROMAN_city_major_3	pro_ROMAN_city_major	2		36	33750	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl3	240004	true	rom_Settlement_Major	city	true
pro_ROMAN_city_major_4	pro_ROMAN_city_major	3		36	54315	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl4	240005	true	rom_Settlement_Major	city	true
pro_ROMAN_military_equipment_1	pro_ROMAN_military_equipment	0		6	11250	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240006	true		workshop	true
pro_ROMAN_military_equipment_armour_2	pro_ROMAN_military_equipment	1		12	9750	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240007	true	rom_Military_Equipment_Armour	workshop	true
pro_ROMAN_military_equipment_armour_3	pro_ROMAN_military_equipment	2		24	16500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240008	true	rom_Military_Equipment_Armour	workshop	true
pro_ROMAN_military_equipment_siege_2	pro_ROMAN_military_equipment	1		12	18000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240009	true	rom_Military_Equipment_Weapons	workshop	true
pro_ROMAN_military_equipment_siege_3	pro_ROMAN_military_equipment	2		30	25500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240010	true	rom_Military_Equipment_Weapons	workshop	true
pro_ROMAN_military_equipment_weapon_2	pro_ROMAN_military_equipment	1		12	9750	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240011	true	rom_Military_Equipment_Weapons	workshop	true
pro_ROMAN_military_equipment_weapon_3	pro_ROMAN_military_equipment	2		24	16500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240012	true	rom_Military_Equipment_Weapons	workshop	true
pun_ROMAN_military_main_1	pun_ROMAN_military_main	0		12	9000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240013	true		military	true
pun_ROMAN_military_main_aux_2	pun_ROMAN_military_main	1		12	10500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240014	true	rom_Military_Main_Other	military	true
pun_ROMAN_military_main_aux_3	pun_ROMAN_military_main	2		12	14250	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240015	true	rom_Military_Main_Other	military	true
pun_ROMAN_military_main_aux_4	pun_ROMAN_military_main	3		12	26100	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240016	true	rom_Military_Main_Other	military	true
pun_ROMAN_military_main_heavy_2	pun_ROMAN_military_main	1		18	12000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240017	true	rom_Military_Main_Heavy	military	true
pun_ROMAN_military_main_heavy_3	pun_ROMAN_military_main	2		30	18000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240018	true	rom_Military_Main_Heavy	military	true
pun_ROMAN_military_main_heavy_4	pun_ROMAN_military_main	3		48	32400	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	240019	true	rom_Military_Main_Heavy	military	true
