level_name	chain	level	condition	create_time	create_cost	upkeep_cost	demolition_cost	zoc	lower_happiness	upper_happiness	repression	gdp	town_wealth_growth	pop_change	maxpop_change	commodity	gov_type_key	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	working_model	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology
#building_levels_tables;6;db/building_levels_tables/_Supply_System_building_levels																																		
east_agriculture_granary_2	rom_EASTERN_outskirts_minor	1		30	24000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	200000	true	rom_Economic_Secondary_Stables	general_civic	true
east_agriculture_granary_3	rom_EASTERN_outskirts_minor	2		50	37500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	200001	true	rom_Economic_Secondary_Stables	general_civic	true
east_agriculture_granary_4	rom_EASTERN_outskirts_minor	3		80	57000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	200002	true	rom_Economic_Secondary_Stables	general_civic	true
greek_agriculture_granary_2	rom_HELLENIC_outskirts_minor	1		30	24000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	200003	true	rom_Economic_Woodworking	general_civic	true
greek_agriculture_granary_3	rom_HELLENIC_outskirts_minor	2		50	37500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	200004	true	rom_Economic_Woodworking	general_civic	true
greek_agriculture_granary_4	rom_HELLENIC_outskirts_minor	3		80	57000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	200005	true	rom_Economic_Woodworking	general_civic	true
rome_agriculture_granary_2	rom_ROMAN_outskirts_minor	1		30	24000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	200006	true	rom_Economic_Storage	town	true
rome_agriculture_granary_3	rom_ROMAN_outskirts_minor	2		50	37500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	200007	true	rom_Economic_Storage	town	true
rome_agriculture_granary_4	rom_ROMAN_outskirts_minor	3		80	57000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	200008	true	rom_Economic_Storage	town	true
