level_name	chain	level	condition	create_time	create_cost	upkeep_cost	demolition_cost	zoc	lower_happiness	upper_happiness	repression	gdp	town_wealth_growth	pop_change	maxpop_change	commodity	gov_type_key	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	working_model	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology
#building_levels_tables;6;db/building_levels_tables/Eastern_building_levels																																		
east_military_buff_horse_2	rom_EASTERN_buff	1		6	1050	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220000	true	rom_Military_Buff_Cav	military	true
east_military_buff_horse_3	rom_EASTERN_buff	2		10	1500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220001	true	rom_Military_Buff_Cav	military	true
east_military_buff_range_2	rom_EASTERN_buff	1		6	1050	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220002	true	rom_Military_Buff_Ranged	military	true
east_military_buff_range_3	rom_EASTERN_buff	2		10	1500	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220003	true	rom_Military_Buff_Ranged	military	true
east_religious_1_armenia	east_religious_armenia	0		4	1200	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220004	true		eastern_temple	true
east_religious_1_parthian	east_religious_parthia	0		4	1050	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220005	true		eastern_temple	true
east_religious_1_parthian_gc	rom_EASTERN_local_temple_parthia	0		4	1050	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220006	true		eastern_temple	true
east_religious_1_parthian_gc_minor	rom_EASTERN_local_temple_minor_parthia	0		4	1050	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220007	true		eastern_temple	true
east_tax_inspector_2	rom_EASTERN_public_land	1		6	3300	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220008	true	rom_Economic_Storage	general_civic	true
east_tax_inspector_3	rom_EASTERN_public_land	2		10	5400	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220009	true	rom_Economic_Storage	general_civic	true
east_tax_inspector_4	rom_EASTERN_public_land	3		16	8874	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220010	true	rom_Economic_Storage	general_civic	true
east_tax_tax_2	rom_EASTERN_public_land	1		6	3000	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220011	true	rom_Economic_Salt	general_civic	true
east_tax_tax_3	rom_EASTERN_public_land	2		10	5400	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220012	true	rom_Economic_Salt	general_civic	true
east_tax_tax_4	rom_EASTERN_public_land	3		16	8874	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220013	true	rom_Economic_Salt	general_civic	true
east_town_centre_game_2	rom_EASTERN_public_land	1		6	3600	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220014	true	rom_Economic_Primary_Public_Order	general_civic	true
east_town_centre_game_3	rom_EASTERN_public_land	2		10	7800	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220015	true	rom_Economic_Primary_Public_Order	general_civic	true
east_town_centre_game_4	rom_EASTERN_public_land	3		16	14688	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_marble	campaign_sho_city_castle_construction_lvl1	220016	true	rom_Economic_Primary_Public_Order	general_civic	true
east_town_garrison_2	rom_EASTERN_city_minor_township	1		6	2700	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220017	true	rom_SettlementMinor	city	true
east_town_garrison_3	rom_EASTERN_city_minor_township	2		10	3900	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220018	true	rom_SettlementMinor	city	true
east_town_garrison_4	rom_EASTERN_city_minor_township	3		16	6300	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220019	true	rom_SettlementMinor	city	true
east_town_trade_2	rom_EASTERN_city_minor_township	1		6	2700	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220020	true	rom_SettlementMinor	city	true
east_town_trade_3	rom_EASTERN_city_minor_township	2		10	3900	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220021	true	rom_SettlementMinor	city	true
east_town_trade_4	rom_EASTERN_city_minor_township	3		16	6300	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220022	true	rom_SettlementMinor	city	true
rom_EASTERN_buff_1	rom_EASTERN_buff	0		4	1200	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	220023	true		town	true
