level_name	chain	level	condition	create_time	create_cost	upkeep_cost	demolition_cost	zoc	lower_happiness	upper_happiness	repression	gdp	town_wealth_growth	pop_change	maxpop_change	commodity	gov_type_key	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	working_model	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology
#building_levels_tables;6;db/building_levels_tables/NewGC_building_levels																																		
rom_EASTERN_local_temple_1a_numidia	rom_EASTERN_local_temple_numidia	0		4	1200	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	255000	true		eastern_temple	true
rom_EASTERN_local_temple_imperial_2a_numidia	rom_EASTERN_local_temple_numidia	1		6	2400	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl2	255001	true	rom_Temple_Imperial_Cult	eastern_temple	true
rom_EASTERN_local_temple_imperial_3a_numidia	rom_EASTERN_local_temple_numidia	2		10	4650	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl3	255002	true	rom_Temple_Imperial_Cult	eastern_temple	true
rom_EASTERN_local_temple_imperial_4a_numidia	rom_EASTERN_local_temple_numidia	3		16	9027	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl4	255003	true	rom_Temple_Imperial_Cult	eastern_temple	true
rom_EASTERN_local_temple_necropolis_2a_numidia	rom_EASTERN_local_temple_numidia	1		6	1950	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	255004	true	rom_Temple_Necropolis	eastern_temple	true
rom_EASTERN_local_temple_necropolis_3a_numidia	rom_EASTERN_local_temple_numidia	2		10	3300	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl2	255005	true	rom_Temple_Necropolis	eastern_temple	true
rom_EASTERN_local_temple_necropolis_4a_numidia	rom_EASTERN_local_temple_numidia	3		16	7200	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	255006	true	rom_Temple_Necropolis	eastern_temple	true
rom_EASTERN_local_temple_zoroastrian_2a_numidia	rom_EASTERN_local_temple_numidia	1		6	1800	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl2	255007	true	rom_Temple_Zoroastrian	eastern_temple	true
rom_EASTERN_local_temple_zoroastrian_3a_numidia	rom_EASTERN_local_temple_numidia	2		10	2400	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl3	255008	true	rom_Temple_Zoroastrian	eastern_temple	true
rom_EASTERN_local_temple_zoroastrian_4a_numidia	rom_EASTERN_local_temple_numidia	3		16	4680	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl4	255009	true	rom_Temple_Zoroastrian	eastern_temple	true
dei_wonder_building_babylon	dei_wonder_chain	0		10	9027	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	true	true				campaign_sho_city_castle_construction_lvl1	255010	false	dei_wonder_new_gc	sanitation	false
dei_wonder_building_bam_citadel	dei_wonder_chain1	0		10	9027	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	true	true				campaign_sho_city_castle_construction_lvl1	255011	false	dei_wonder_new_gc	sanitation	false
dei_wonder_building_colossus_rhodes	dei_wonder_chain2	0		10	9027	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	true	true				campaign_sho_city_castle_construction_lvl1	255012	false	dei_wonder_new_gc	sanitation	false
dei_wonder_building_karnag_stones	dei_wonder_chain3	0		10	9027	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	true	true				campaign_sho_city_castle_construction_lvl1	255013	false	dei_wonder_new_gc	sanitation	false
dei_wonder_building_kogaionon	dei_wonder_chain4	0		10	9027	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	true	true				campaign_sho_city_castle_construction_lvl1	255014	false	dei_wonder_new_gc	sanitation	false
