level_name	chain	level	condition	create_time	create_cost	upkeep_cost	demolition_cost	zoc	lower_happiness	upper_happiness	repression	gdp	town_wealth_growth	pop_change	maxpop_change	commodity	gov_type_key	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	working_model	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology
#building_levels_tables;6;db/building_levels_tables/_Alex_building_levels																																		
dei_main_city_BABYLON_1	dei_superchain_BABYLON_chain	0		4	2250	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	true	false				campaign_sho_city_castle_construction_lvl1	250001	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_1_barb	dei_superchain_BABYLON_chain_barb	0		4	2250	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	true	false				campaign_sho_city_castle_construction_lvl1	250009	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_2	dei_superchain_BABYLON_chain	1		6	3900	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl2	250002	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_2_barb	dei_superchain_BABYLON_chain_barb	1		6	3900	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl2	250010	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_3	dei_superchain_BABYLON_chain	2		10	6450	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl3	250003	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_3_barb	dei_superchain_BABYLON_chain_barb	2		10	6450	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl3	250011	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_3_fort	dei_superchain_BABYLON_chain	2		10	6800	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl3	250004	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_3_fort_barb	dei_superchain_BABYLON_chain_barb	2		10	6800	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl3	250012	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_3_trade	dei_superchain_BABYLON_chain	2		10	6800	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl3	250005	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_3_trade_barb	dei_superchain_BABYLON_chain_barb	2		10	6800	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl3	250013	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_4	dei_superchain_BABYLON_chain	3		16	12600	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_marble	campaign_sho_city_castle_construction_lvl4	250006	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_4_barb	dei_superchain_BABYLON_chain_barb	3		16	12600	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_marble	campaign_sho_city_castle_construction_lvl4	250014	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_4_fort	dei_superchain_BABYLON_chain	3		16	14400	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_marble	campaign_sho_city_castle_construction_lvl4	250007	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_4_fort_barb	dei_superchain_BABYLON_chain_barb	3		16	14400	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_marble	campaign_sho_city_castle_construction_lvl4	250015	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_4_trade	dei_superchain_BABYLON_chain	3		16	14400	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_marble	campaign_sho_city_castle_construction_lvl4	250008	true	rom_Settlement_Major	city	false
dei_main_city_BABYLON_4_trade_barb	dei_superchain_BABYLON_chain_barb	3		16	14400	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false			res_rom_marble	campaign_sho_city_castle_construction_lvl4	250016	true	rom_Settlement_Major	city	false
