level_name	chain	level	condition	create_time	create_cost	upkeep_cost	demolition_cost	zoc	lower_happiness	upper_happiness	repression	gdp	town_wealth_growth	pop_change	maxpop_change	commodity	gov_type_key	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	working_model	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology
#building_levels_tables;6;db/building_levels_tables/zResource1_building_levels																																		
dei_resource_chain_minor_gold_1	dei_resource_chain_minor_gold	0		4	2025	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	246000	true	dei_resource_chain_minor_gold	town	false
dei_resource_chain_minor_gold_2_trade	dei_resource_chain_minor_gold	1		6	4275	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	246001	true	dei_resource_chain_minor_gold	workshop	false
dei_resource_chain_minor_gold_3_trade	dei_resource_chain_minor_gold	2		10	8775	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	246002	true	dei_resource_chain_minor_gold	workshop	false
dei_resource_chain_minor_gold_4_trade	dei_resource_chain_minor_gold	3		16	16808	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	246003	true	dei_resource_chain_minor_gold	workshop	false
dei_resource_chain_minor_gold_2_mine	dei_resource_chain_minor_gold	1		6	4275	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	246004	true	dei_resource_chain_minor_gold	workshop	false
dei_resource_chain_minor_gold_3_mine	dei_resource_chain_minor_gold	2		10	8775	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	246005	true	dei_resource_chain_minor_gold	workshop	false
dei_resource_chain_minor_gold_4_mine	dei_resource_chain_minor_gold	3		16	16808	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	246006	true	dei_resource_chain_minor_gold	workshop	false
dei_resource_chain_minor_gold_2_lead	dei_resource_chain_minor_gold	1		6	4275	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	246007	true	dei_resource_chain_minor_gold	workshop	false
dei_resource_chain_minor_gold_3_lead	dei_resource_chain_minor_gold	2		10	8775	0	0	0	0	0	0	0	0	0.0000	0.0000			0	false	0	0	0	0	false	false				campaign_sho_city_castle_construction_lvl1	246008	true	dei_resource_chain_minor_gold	workshop	false
