key	building_level	position_index	research_points_required	icon_name	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	mp_available_early	mp_available_late	info_pic	ai_bias	unique_index	cost_per_round	is_civil	is_engineering	is_military
#technologies_tables;4;db/technologies_tables/DeI_technologies																	
rom_baktria_civil_agriculture_perennial_irrigation	rom_HELLENIC_port_1	2	9200	rom_roman_civil_agriculture_perennial_irrigation	0	0	0	0	false	false	greek_civ_up.png	0	3999	767	true	false	false
rom_baktria_civil_economy_animal_husbandry	rom_HELLENIC_port_1	2	2400	rom_roman_civil_agriculture_animal_husbandry	0	0	0	0	false	false	greek_civ_up.png	0	4007	0	true	false	false
rom_baktria_civil_economy_fertilisation	rom_HELLENIC_port_1	2	1600	rom_roman_civil_agriculture_manuring	0	0	0	0	false	false	greek_civ_up.png	0	4014	0	true	false	false
rom_baktria_civil_economy_land_reclamation	rom_HELLENIC_port_1	2	4000	rom_roman_civil_agriculture_land_reclamation	0	0	0	0	false	false	greek_civ_up.png	0	4017	333	true	false	false
rom_baktria_civil_philosophy_cult_of_alexander	rom_HELLENIC_port_1	2	9200	rom_egyptian_civil_philosophy_cult_of_alexander	0	0	0	0	false	false	greek_civ_up.png	0	4018	767	true	false	false
rom_baktria_civil_top_social_organisation	rom_HELLENIC_port_1	2	800	rom_eastern_civil_social_organisation	0	0	0	0	false	false	east_civ_up.png	0	4023	0	true	false	false
rom_baktria_military_management_advanced_chariot_training	rom_HELLENIC_port_1	2	1200	rom_greek_military_management_military_settlement	0	0	0	0	false	false	greek_army_up.png	0	4030	0	false	false	true
rom_baktria_military_management_elephant_trading	rom_HELLENIC_port_1	2	9600	rom_eastern_military_management_elephant_trading	0	0	0	0	false	false	east_army_up.png	0	4035	800	false	false	true
rom_baktria_military_management_fore_and_aft_rigging	rom_HELLENIC_port_1	2	9600	rom_roman_military_navy_fore_and_aft_rigging	0	0	0	0	false	false	greek_army_up.png	0	4038	800	false	false	true
